coin,date_added,max_supply,circulating_supply,total_supply,market_cap,Volume24h,price
SLV,2019-07-03T00:00:00.000Z,,0.0,1000000000.0,0.0,7155.65633634,0.00037463842391
TUNE,2020-08-07T00:00:00.000Z,,0.0,1000000000.0,0.0,6997.02975483,0.00165996706338
COMB,2020-09-25T00:00:00.000Z,,0.0,2564.0,0.0,6952.05514913,65.37070722107919
ATOMBEAR,2020-08-03T00:00:00.000Z,,0.0,316.194063,0.0,6959.80860282,0.00013054632694
ZIOT,2021-04-14T00:00:00.000Z,13370000.0,0.0,0.0,0.0,6955.68634896,0.20371164403378
SCHO,2021-03-16T00:00:00.000Z,20000000.0,0.0,0.0,0.0,6951.66240446,0.02174496808103
MLR,2020-04-21T00:00:00.000Z,1000000000.0,0.0,1000000000.0,0.0,6890.16886792,0.04801557766916
MDM,2019-12-13T00:00:00.000Z,,0.0,1000000000.0,0.0,6871.18506381,0.4224916790845
TWI,2020-11-09T00:00:00.000Z,200000.0,0.0,0.0,0.0,6920.35398021,0.19139620236833
CITY,2020-01-28T00:00:00.000Z,,0.0,13736000000.0,0.0,6755.36831537,0.06016409732039
PHOON,2021-01-22T00:00:00.000Z,30000.0,0.0,30000.0,0.0,6660.52359829,15.16758616527589
TLW,2020-04-02T00:00:00.000Z,79797979.0,0.0,170480.0,0.0,6588.62598127,3.17293704344151
DSL,2021-03-09T00:00:00.000Z,1051200000.0,0.0,0.0,0.0,6619.39556419,0.05417139304785
FDR,2020-09-09T00:00:00.000Z,24000000.0,0.0,0.0,0.0,6691.26630364,0.50747694327914
MWBTC,2021-02-17T00:00:00.000Z,1445292.0,0.0,1445291.610148,0.0,6541.43155307,0.48651403382871
VLT,2020-07-15T00:00:00.000Z,1800000.0,0.0,1800000.0,0.0,6471.63710593,0.53357765003516
YPIE,2021-01-25T00:00:00.000Z,0.0,0.0,0.0,0.0,6462.42668109,2.96606017879542
SURF,2020-10-29T00:00:00.000Z,,0.0,0.0,0.0,6431.61056185,0.49829309646635
VOICE,2020-10-26T00:00:00.000Z,44613.0,0.0,0.0,0.0,6398.17509788,97.91777583816038
AIN,2021-01-11T00:00:00.000Z,700000000.0,0.0,0.0,0.0,6404.21539084,0.1723572549948
XFI,2020-09-29T00:00:00.000Z,500000000.0,0.0,500000000.0,0.0,6310.20550079,0.10473801447365
RPEPE,2021-03-21T00:00:00.000Z,29037570.0,0.0,0.0,0.0,6276.60458269,0.04069055627549
BDOG,2021-04-18T00:00:00.000Z,100000000.0,0.0,0.0,0.0,6264.55929311,0.01261553078684
HODL,2021-02-23T00:00:00.000Z,100000000.0,0.0,0.0,0.0,5951.50665591,0.00467539022846
IDO,2021-04-20T00:00:00.000Z,50000000.0,0.0,0.0,0.0,6263.33683032,0.00932796469911
AGRS,2015-08-24T00:00:00.000Z,42000000.0,0.0,42000000.0,0.0,6213.84412184,1.2259829799008
TWTR,2020-12-08T00:00:00.000Z,,0.0,0.0,0.0,6174.04325,55.575
EFT,2021-03-17T00:00:00.000Z,75000.0,0.0,0.0,0.0,6192.70300896,474.9641114403931
PSHP,2020-10-14T00:00:00.000Z,,0.0,11000.0,0.0,6081.30331066,62.26704568143512
PUNK-BASIC,2021-02-17T00:00:00.000Z,120.0,0.0,120.0,0.0,6066.59477649,58576.10637018331
